match_no,runs,iter
1,1,1
2,23,2
3,13,3
4,12,4
5,1,5
6,9,6
7,34,7
8,0,8
9,21,9
10,3,10
11,10,11
12,38,12
13,3,13
14,11,14
15,50,15
16,2,16
17,22,17
18,19,18
19,16,19
20,15,20
21,20,21
22,38,22
23,19,23
24,24,24
25,7,25
26,2,26
27,16,27
28,17,28
29,24,29
30,38,30
31,34,31
32,42,32
33,13,33
34,58,34
35,3,35
36,14,36
37,37,37
38,9,38
39,23,39
40,12,40
41,71,41
42,35,42
43,30,43
44,56,44
45,67,45
46,27,46
47,27,47
48,39,48
49,15,49
50,11,50
51,31,51
52,70,52
53,8,53
54,35,54
55,8,55
56,6,56
57,57,57
58,22,58
59,16,59
60,4,60
61,16,61
62,18,62
63,45,63
64,9,64
65,36,65
66,9,66
67,3,67
68,73,68
69,42,69
70,24,70
71,51,71
72,35,72
73,58,73
74,65,74
75,1,75
76,11,76
77,1,77
78,32,78
79,25,79
80,57,80
81,93,81
82,99,82
83,17,83
84,14,84
85,56,85
86,49,86
87,0,87
88,31,88
89,21,89
90,4,90
91,0,91
92,35,92
93,0,93
94,4,94
95,10,95
96,27,96
97,67,97
98,38,98
99,73,99
100,13,100
101,41,101
102,18,102
103,51,103
104,62,104
105,35,105
106,1,106
107,34,107
108,48,108
109,32,109
110,82,110
111,19,111
112,44,112
113,1,113
114,12,114
115,12,115
116,75,116
117,79,117
118,33,118
119,80,119
120,100,120
121,14,121
122,52,122
123,108,123
124,20,124
125,7,125
126,109,126
127,75,127
128,113,128
129,54,129
130,0,130
131,54,131
132,62,132
133,28,133
134,64,134
135,0,135
136,10,136
137,55,137
138,20,138
139,6,139
140,5,140
141,58,141
142,31,142
143,21,143
144,57,144
145,92,145
146,30,146
147,18,147
148,68,148
149,32,149
150,8,150
151,39,151
152,70,152
153,48,153
154,12,154
155,4,155
156,6,156
157,46,157
158,3,158
159,23,159
160,84,160
161,41,161
162,67,162
163,8,163
164,100,164
165,9,165
166,13,166
167,23,167
168,25,168
169,16,169
170,18,170
171,9,171
172,7,172
173,29,173
174,1,174
175,72,175
176,43,176
177,43,177
178,90,178
179,48,179
180,14,180
181,33,181
182,50,182
183,8,183
184,6,184
185,33,185
186,33,186
187,5,187
188,72,188
189,8,189
190,12,190
191,35,191
192,5,192
193,25,193
194,5,194
195,4,195
196,25,196
197,51,197
198,53,198
199,39,199
200,41,200
201,12,201
202,5,202
203,48,203
204,1,204
205,12,205
206,0,206
207,0,207
208,9,208
209,58,209
210,30,210
211,0,211
212,20,212
213,73,213
214,25,214
215,7,215
